UserID,Username,Password,Role,Email,Phone
00001,Nguyen Quy,123456,patient,doctor1@example.com,987-654-3210
00003,Nguyen An,123456,patient,patient1@example.com,555-555-5555
00044,Nguyen Phat,123456,patient,quy1@example.com,565-232-9895
00006,Nguyen Truong,123456,patient,huytruong@example.com,546-798-2311
00007,Nguyen Huy Phat,123456,patient,huyphat@example.com,
00008,Nguyen Huy Tin,123456,patient,huytin@example.com,
00009,Nguyen Huy An,123456,patient,huyan@example.com,
00011,Nguyen Huy Van,123456,patient,huyvan@example.com,
00012,Nguyen Huy Ca,123456,patient,huyca@example.com,
00013,Nguyen Huy Be,123456,patient,huybe@example.com,
00004,Nguyen Huy Vanh,123456,patient,huyvanh@example.com,
00016,Nguyen Huy Ka,123456,patient,huyka@example.com,
00017,Nguyen Huy Lin,123456,patient,huylin@example.com,
00018,Nguyen Huy Kien,123456,patient,huykien@example.com,
00019,Nguyen Huy Nha,123456,patient,huynha@example.com,
00021,Nguyen Huy Mot,123456,patient,huymot@example.com,
00022,Nguyen Huy Chin,123456,patient,huychin@example.com,
00023,Nguyen Huy Hai,123456,patient,huyhai@example.com,
00024,Nguyen Huy Ba,123456,patient,huyba@example.com,
00026,Nguyen Huy Truc,123456,patient,huytruc@example.com,
00027,Nguyen Huy Men,123456,patient,huymen@example.com,
00028,Nguyen Huy Mun,123456,patient,huymun@example.com,
00029,Nguyen Huy Tinh,123456,patient,huytinh@example.com,
00001,Nguyen Huy Tuan,123456,patient,huytuan@example.com,
00032,Nguyen Huy Ngoc,123456,patient,huytuan@example.com,
00033,Nguyen Huy Nhi,123456,patient,huynhi@example.com,
00034,Nguyen Huy Huy,123456,patient,huyhuy@example.com,
00036,Nguyen Huy La,123456,patient,huyla@example.com,
00037,Nguyen Huy Nho,123456,patient,huynho@example.com,
00050,Nguyen Huy Hoc,123456,admin,huyhoc@example.com,
00060,Nguyen Huy Meo,123456,admin,huymeo@example.com,
00000,Nguyen Tin,123456,admin,admin@example.com,123-456-7890
00030,Nguyen Huy Trinh,123456,admin,huytrinh@example.com,
00010,Nguyen Huy Bao,123456,admin,huybao@example.com,
00020,Nguyen Huy Yen,123456,admin,huyyen@example.com,
00005,Nguyen Truong An,123456,doctor,anan@example.com,123-456-9999,
00015,Nguyen Huy Nhung,123456,doctor,huynhung@example.com,
00025,Nguyen Huy Nhuc,123456,doctor,huynhuc@example.com,
00035,Nguyen Huy Em,123456,doctor,huyem@example.com,
